0,1895
1,1285
2,1312
3,781
4,424
5,293
6,226
7,163
8,141
9,97
10,80
11,72
12,52
13,58
14,54
15,41
16,31
17,45
18,30
19,26
20,26
21,22
22,32
23,30
24,23
25,25
26,15
27,14
28,9
29,16
30,9
31,16
32,12
33,18
34,11
35,12
36,14
37,13
38,10
39,8
40,12
41,8
42,7
43,12
44,9
45,7
46,7
47,7
48,10
49,5
50,6
51,4
52,4
53,6
54,3
55,6
56,7
57,2
58,3
59,1
60,2
61,7
62,4
63,2
64,3
65,3
67,3
68,2
69,1
70,4
72,1
73,4
74,3
75,3
76,1
77,1
80,3
81,1
83,1
85,4
86,2
87,1
90,1
91,2
92,1
93,1
94,1
97,3
98,2
100,1
104,2
106,1
107,1
120,1
123,1
141,1
143,2
